"Name","StudentTotal","InternationalStudentTotal","FacultyTotal","Tuition","Street","City","State","Locale","longitude","latitude"
"SUNY at Binghamton","16203","2345","1713","29136.0","4400 Vestal Parkway East","Binghamton","New York","suburb","-75.9693284","42.0867914"
"Syracuse University","31780","2825","3093","53790.0","1","Syracuse","New York","city","-76.1530665","43.07102"
"Teachers College at Columbia University","6535","685","681","53790.0","525 W 120th St","New York","New York","city","-73.96062289999999","40.8101745"
"The New School","12745","3187","1247","57609.0","72 Fifth Ave., 3rd Floor","New York","New York","city","-73.9943661","40.7355761"
"Touro College","19687","76","1571","27100.0","27-33 W 23rd St","New York","New York","city","-73.9905775","40.74240349999999"
"University at Buffalo","32412","5921","4611","30601.0","3435 Main Street","Buffalo","New York","suburb","-78.8182506","42.9533594"
"University of Rochester","6304","1127","840","30601.0","Wallis Hall","Rochester","New York","city","-77.6311747","43.1263958"
"Utica College","4385","52","435","45236.0","1600 Burrstone Rd","Utica","New York","city","-75.2711726","43.0953591"
"Yeshiva University","7084","390","3905","50330.0","500 W 185th St","New York","New York","city","-73.92975950000002","40.85101299999999"
"Ashland University","8919","241","756","41429.0","401 College Ave","Ashland","Ohio","town","-82.32301559999999","40.8618277"
"Bowling Green State University-Main Campus","20442","803","2517","28210.0","1001 East Wooster Street","Bowling Green","Ohio","town","-83.6407816","41.3773205"
"Capital University","4223","54","564","43120.0","1 College and Main","Columbus","Ohio","suburb","-82.938559","39.9549246"
"Case Western Reserve University","10586","1609","3912","54133.0","10900 Euclid Ave","Cleveland","Ohio","city","-81.60992929999999","41.50461749999999"
"Cleveland State University","21717","1363","1572","28966.0","2121 Euclid Avenue","Cleveland","Ohio","city","-81.6752568","41.5022777"
"College of Mount St. Joseph","2947","0","369","33832.0","5701 Delhi Rd","Cincinnati","Ohio","suburb","-84.6384041","39.0949555"
"Kent State University Kent Campus","32075","1680","2632","32080.0","PO BOX 5190","Kent","Ohio","suburb","-81.34788329999999","41.1470566"
"Miami University - Ohio","17727","0","1061","45905.0","Office of Admission","Oxford","Ohio","town","-84.73887239999999","39.5065051"
"Ohio Northern University","3686","111","675","47944.0","525 S. Main St","Ada","Ohio","town","-83.8238966","40.7655097"
"Ohio State University-Main Campus","64425","5713","10149","41766.0","190 N. Oval Mall","Columbus","Ohio","city","-83.01340859999999","40.0005841"
"Ohio University-Main Campus","31129","1833","2799","32307.0","1","Athens","Ohio","town","-82.1270033","39.2907259"
"The University of Findlay","6746","455","633","39278.0","1000 N Main St","Findlay","Ohio","town","-83.6514236","41.0537471"
"University of Akron Main Campus","32183","1264","2343","30474.0","302 Buchtel Common","Akron","Ohio","city","-81.5115774","41.0771513"
"University of Cincinnati-Main Campus","38041","2312","5940","41351.0","2624 Clifton Avenue","Cincinnati","Ohio","city","-84.5184317","39.1343961"
"University of Toledo","25597","1469","3429","31661.0","2801 W Bancroft","Toledo","Ohio","city","-83.6126008","41.6624584"
"Ursuline College","1800","9","207","35880.0","2550 Lander Rd","Pepper Pike","Ohio","suburb","-81.4656522","41.4965154"
"Walsh University","3500","43","365","35453.0","2020 East Maple St","North Canton","Ohio","suburb","-81.36965599999999","40.873658"
"Wright State University-Main Campus","22378","845","2508","32171.0","3640 Colonel Glenn Highway","Dayton","Ohio","suburb","-84.05921269999999","39.778275"
"Xavier University","8695","230","1029","43880.0","3800 Victory Parkway","Cincinnati","Ohio","city","-84.4795628","39.148913"
"Youngstown State University","18058","193","1323","20134.0","One University Plaza","Youngstown","Ohio","city","-80.6477","41.10626"
"Langston University","3510","20","392","21647.0","102 Page Hall","Langston","Oklahoma","rural","-97.262907","35.9459622"
"Northeastern State University","8276","0","511","19277.0","600 N Grand","Tahlequah","Oklahoma","town","-94.9661094","35.920645"
"Oklahoma City University","4454","1140","648","42290.0","2501 N Blackwelder","Oklahoma City","Oklahoma","city","-97.540194","35.493809"
"Oklahoma State University-Main Campus","26807","2066","3909","32135.0","107 Whitehurst","Stillwater","Oklahoma","town","-97.070567","36.1219844"
"University of Oklahoma Norman Campus","30642","1880","4311","33446.0","660 Parrington Oval","Norman","Oklahoma","suburb","-97.4456811","35.2085041"
"University of Tulsa","4596","838","945","46789.0","800 South Tucker Drive","Tulsa","Oklahoma","city","-95.9467696","36.1490106"
"Corban College","1326","10","144","37486.0","5000 Deer Park Dr SE","Salem","Oregon","rural","-122.9609521","44.8829475"
"George Fox University","4237","178","534","41480.0","414 N Meridian St","Newberg","Oregon","town","-122.9704656","45.3027851"
"Lewis & Clark College","4361","265","679","51458.0","0615 S W Palatine Hill Rd","Portland","Oregon","city","-122.6701491","45.45017550000001"
"Pacific University","3904","149","663","45410.0","2043 College Way","Forest Grove","Oregon","suburb","-123.1094571","45.5209573"
"Portland State University","41896","2309","2547","37704.0","724 SW Harrison","Portland","Oregon","city","-122.6845654","45.5111227"
"University of Oregon","27078","2266","3870","40916.0","240 Oregon Hall","Eugene","Oregon","city","-123.0704296","44.0459883"
"University of Portland","4532","255","633","50830.0","5000 N Willamette Blvd","Portland","Oregon","city","-122.7236596","45.57371699999999"
"Willamette University","3099","313","718","50402.0","900 State St","Salem","Oregon","city","-123.0317802","44.9354439"
"Arcadia University","4983","128","440","48290.0","450 S Easton Rd","Glenside","Pennsylvania","suburb","-75.16388649999999","40.092564"
"Bloomsburg University of Pennsylvania","11644","156","1191","30888.0","400 E Second St","Bloomsburg","Pennsylvania","town","-76.4488075","41.0064456"
"Bryn Mawr College","1859","174","510","55714.0","101 N Merion Avenue","Bryn Mawr","Pennsylvania","suburb","-75.31444619999999","40.0266437"
"Carlow University","3483","9","288","35780.0","3333 Fifth Ave","Pittsburgh","Pennsylvania","city","-79.9631161","40.4389338"
"Carnegie Mellon University","12175","3747","3841","57520.0","5000 Forbes Ave","Pittsburgh","Pennsylvania","city","-79.9433725","40.44416469999999"
"Chestnut Hill College","2691","74","204","41640.0","9601 Germantown Ave","Philadelphia","Pennsylvania","city","-75.2286092","40.0866725"
"Drexel University","28374","2276","4134","54040.0","3141 Chestnut St","Philadelphia","Pennsylvania","city","-75.1868606","39.9540928"
"Duquesne University","11746","495","1467","41027.0","Administration Bldg 600 Forbes Ave","Pittsburgh","Pennsylvania","city","-79.9901728","40.4372949"
"Eastern University","5319","176","435","39180.0","1300 Eagle Rd","Saint Davids","Pennsylvania","suburb","-75.3702259","40.0504374"
"Immaculata University","5941","31","276","46030.0","1145 King Rd","Immaculata","Pennsylvania","suburb","-75.5705399","40.0279142"
"Indiana University of Pennsylvania-Main Campus","17018","768","1887","32875.0","1011 South Dr 201 Sutton Hall","Indiana","Pennsylvania","town","-79.16146690000001","40.6140124"
"La Salle University","7972","87","702","47710.0","1900 W Olney Ave","Philadelphia","Pennsylvania","city","-75.153854","40.0390582"
"Lebanon Valley College","2338","2","306","45200.0","101 N College Ave","Annville","Pennsylvania","suburb","-76.514673","40.3312446"
"Lehigh University","7533","873","1742","54020.0","27 Memorial Dr W","Bethlehem","Pennsylvania","city","-75.38016929999999","40.6068348"
"Marywood University","4048","96","459","42995.0","2300 Adams Ave","Scranton","Pennsylvania","city","-75.6372363","41.4334254"
"Pennsylvania State University-Main Campus","49025","4856","9588","43084.0","201 Old Main","University Park","Pennsylvania","city","-77.8627439","40.796466"
"Pennsylvania State University-Penn State Harrisburg","5109","139","624","35418.0","777 W Harrisburg Pike","Middletown","Pennsylvania","suburb","-76.73961779999999","40.1972904"
"Robert Morris University","5823","194","582","37768.0","6001 University Boulevard","Moon Township","Pennsylvania","suburb","-80.2124051","40.5190748"
"Saint Francis University","2725","26","342","41478.0","117 Evergreen Dr","Loretto","Pennsylvania","town","-78.63900269999999","40.5066666"
"Saint Joseph's University","10788","357","897","52846.0","5600 City Avenue","Philadelphia","Pennsylvania","city","-75.2394431","39.993829"
"Slippery Rock University ","10309","90","1071","24698.0","1 Morrow Way","Slippery Rock","Pennsylvania","town","-80.04118419999999","41.0630697"
"Temple University","42688","2224","5805","39832.0","1801 North Broad Street","Philadelphia","Pennsylvania","city","-75.1579633","39.9810354"
"University of Pennsylvania","28453","4009","12970","57360.0","1 College Hall 34th and Spruce Sts","Philadelphia","Pennsylvania","city","-75.1937556","39.9515103"
"University of Pittsburgh-Pittsburgh Campus","33082","2599","13965","39140.0","4200 Fifth Avenue","Pittsburgh","Pennsylvania","city","-79.9534133","40.44439000000001"
"University of Scranton","6858","155","828","51274.0","800 Linden Street","Scranton","Pennsylvania","city","-75.656958","41.4056064"
"Villanova University","12136","477","1977","54520.0","800 Lancaster Avenue","Villanova","Pennsylvania","suburb","-75.3444079","40.0369846"
"Waynesburg University","2972","2","231","29000.0","51 W College St","Waynesburg","Pennsylvania","town","-80.18769139999999","39.8994825"
"Widener University - Pathway Program","5532","137","708","50151.0","One University Place","Chester","Pennsylvania","suburb","-75.35667529999999","39.8633562"
"Wilkes University","9314","105","471","43908.0","84 West South Street","Wilkes-Barre","Pennsylvania","city","-75.8902177","41.2441949"
"York College Pennsylvania","6233","30","567","27800.0","Country Club Rd","York","Pennsylvania","suburb","-76.7291407","39.9454323"
"Brown University","9276","1343","2923","56150.0","Prospect St","Providence","Rhode Island","city","-71.4055101","41.8304009"
"Rhode Island College","10939","28","1044","29250.0","600 Mount Pleasant Ave","Providence","Rhode Island","suburb","-71.4633741","41.8424685"
"Salve Regina University","2860","6","348","47100.0","100 Ochre Point Avenue","Newport","Rhode Island","suburb","-71.2992732","41.47238480000001"
"University of Rhode Island","19185","279","2195","41399.0","37 Lower College Road","Kingston","Rhode Island","suburb","-71.52897","41.48325"
"Clemson University","22338","1298","3156","42784.0","201 Sikes Hall","Clemson","South Carolina","town","-82.8351438","34.6793819"
"Presbyterian College","1321","37","294","43652.0","503 S Broad St","Clinton","South Carolina","town","-81.87990599999999","34.4669671"
"South Carolina State University","5068","10","648","34338.0","300 College St NE","Orangeburg","South Carolina","town","-80.848129","33.502162"
"University of South Carolina-Columbia","33503","1445","4575","39248.0","1","Columbia","South Carolina","city","-81.03523","34.006973"
"South Dakota State University","15051","537","1758","19502.0","Administration Lane","Brookings","South Dakota","town","-96.78214829999999","44.318633"
"University of South Dakota","12973","132","1269","20567.0","414 E Clark St","Vermillion","South Dakota","town","-96.9249387","42.7872223"
"Belmont University","6543","69","969","39930.0","1900 Belmont Blvd","Nashville","Tennessee","city","-86.79385669999999","36.1325006"
"East Tennessee State University","17091","347","2394","36315.0","1276 Gilbreath Drive","Johnson City","Tennessee","city","-82.3667992","36.3041913"
"Middle Tennessee State University","31269","723","2775","40770.0","1301 East Main Street","Murfreesboro","Tennessee","city","-86.3705889","35.8436241"
"Sewanee:  The University of the South","1761","46","393","43418.0","735 University Avenue","Sewanee","Tennessee","rural","-85.9208317","35.2025381"
"Tennessee State University","10416","104","1241","29126.0","3500 John Merritt Blvd","Nashville","Tennessee","city","-86.8260896","36.1682498"
"Tennessee Technological University","12981","474","1161","34058.0","1 William L. Jones Drive","Cookeville","Tennessee","town","-85.5070223","36.175903"
"The University of Tennessee","32981","1421","6828","40713.0","Circle Park","Knoxville","Tennessee","city","-83.9266023","35.9525344"
"The University of Tennessee at Chattanooga","12015","147","1356","33044.0","615 McCallie Ave","Chattanooga","Tennessee","city","-85.29827159999999","35.04789"
"Trevecca Nazarene University","3106","19","255","33186.0","333 Murfreesboro Rd","Nashville","Tennessee","city","-86.7535011","36.1450579"
"Union University","5195","48","711","40000.0","1050 Union University Dr","Jackson","Tennessee","city","-88.864009","35.676716"
"University of Memphis","26312","676","2784","36528.0","1","Memphis","Tennessee","city","-90.0436356","35.1482278"
"Vanderbilt University","13500","1177","10671","58554.0","2101 West End Avenue","Nashville","Tennessee","city","-86.8028774","36.1494589"
"Abilene Christian University","5120","244","738","38250.0","1600 Campus Court","Abilene","Texas","city","-99.71117489999999","32.4695289"
"Angelo State University","7996","93","816","26856.0","2601 W Avenue N","San Angelo","Texas","city","-100.4659589","31.4419346"
"Baylor University","16083","564","2688","45011.0","500 Speight Ave.","Waco","Texas","city","-97.1182662","31.5447753"
"Dallas Baptist University","6931","780","354","30823.0","3000 Mountain Creek Parkway","Dallas","Texas","city","-96.946411","32.7106801"
"Hardin-Simmons University","2643","43","411","32638.0","2200 Hickory","Abilene","Texas","city","-99.73254999999999","32.475068"
"Lamar University","18537","664","1180","31057.0","4400 MLK","Beaumont","Texas","city","-94.1115924","30.0995178"
"Our Lady of the Lake University-San Antonio","2963","37","342","34583.0","411 SW 24th St","San Antonio","Texas","city","-98.542512","29.4256219"
"Prairie View A & M University","9946","215","1047","23981.0","5th Street Ave. A- L.W. Minor Street.","Prairie View","Texas","town","-95.98989639999999","30.0939175"
"Rice University","6503","1185","2486","58286.0","6100 S Main","Houston","Texas","city","-95.3964068","29.7205057"
"Sam Houston State University","19710","326","1803","25206.0","1806 Ave J","Huntsville","Texas","town","-95.5490274","30.7155156"
"Southern Methodist University","12513","1247","2155","55955.0","6425 Boaz St","Dallas","Texas","suburb","-96.7859684","32.8450074"
"St Marys University","4475","209","594","36356.0","One Camino Santa Maria","San Antonio","Texas","city","-98.5640981","29.4523378"
"Stephen F Austin State University","14939","175","1518","30556.0","1936 North St","Nacogdoches","Texas","rural","-94.6524932","31.6204701"
"Tarleton State University","13690","99","1125","25095.0","1333 W. Washington","Stephenville","Texas","town","-98.2147778","32.21501"
"Texas A & M International University","8287","319","576","14671.0","5201 University Blvd","Laredo","Texas","rural","-99.4350626","27.5735219"
"Texas A & M University","51417","4560","7086","36113.0","1","College Station","Texas","city","-96.31755969999999","30.6135359"
"Texas A & M University-Commerce","13264","41","861","28155.0","2600 South Neal","Commerce","Texas","town","-95.9090659","33.2353555"
"Texas A & M University-Corpus Christi","11785","567","951","28737.0","6300 Ocean Dr.","Corpus Christi","Texas","city","-97.32414310000001","27.712744"
"Texas A & M University-Kingsville","11927","653","1170","28910.0","955 University Blvd","Kingsville","Texas","town","-97.8847869","27.5269129"
"Texas Christian University","9771","523","1672","46110.0","2800 S University Dr","Fort Worth","Texas","city","-97.35933659999999","32.709151"
"Texas Southern University","11063","358","1200","31567.0","3100 Cleburne St","Houston","Texas","city","-95.3597786","29.7223299"
"Texas State University-San Marcos","36743","298","3336","27422.0","601 University Dr","San Marcos","Texas","town","-97.9430682","29.8888838"
"Texas Tech University","35105","2434","3801","28265.0","Broadway and University Avenue","Lubbock","Texas","city","-101.8705678","33.5845437"
"Texas Wesleyan University","3768","50","534","31070.0","1201 Wesleyan St","Fort Worth","Texas","city","-97.2802071","32.7323764"
"Texas Woman's University","17458","371","1203","23261.0","304 Administration Dr","Denton","Texas","city","-97.12786299999999","33.2262575"
"The University of Texas at Arlington","45533","3818","2553","28946.0","701 S. Nedderman Dr.","Arlington","Texas","city","-97.11519709999999","32.7292117"
"The University of Texas at Austin","50440","5187","3090","26523.0","1 University Station","Austin","Texas","city","-97.7288552","30.2850357"
"The University of Texas at Brownsville","18970","844","1224","24724.0","80 Fort Brown","Brownsville","Texas","city","-97.49215","25.8986065"
"The University of Texas at Dallas","20000","3062","1911","37060.0","800 West Campbell  Road","Richardson","Texas","city","-96.75023639999999","32.9857218"
"The University of Texas at El Paso","26232","2092","2079","30043.0","500 W. University Ave","El Paso","Texas","city","-106.5058402","31.7678473"
"The University of Texas at San Antonio","28787","1600","1383","37050.0","One UTSA Circle","San Antonio","Texas","city","-98.6196556","29.5830446"
"The University of Texas at Tyler","7816","171","828","28978.0","3900 University Blvd","Tyler","Texas","city","-95.25423119999999","32.3157449"
"The University of Texas-Pan American","23023","605","1893","23297.0","1201 W University Dr","Edinburg","Texas","city","-98.17468910000001","26.3045367"
"University of Houston","45001","3914","3794","28417.0","212 E. Cullen Building","Houston","Texas","city","-95.34352799999999","29.7203176"
"University of Houston-Clear Lake","10338","1087","750","28417.0","2700 Bay Area Blvd","Houston","Texas","rural","-95.0986427","29.5812422"
"University of Mary Hardin-Baylor","3302","129","423","33500.0","900 College St","Belton","Texas","suburb","-97.4665354","31.0708561"
"University of North Texas","44140","2381","3244","26339.0","Chestnut Ave.","Denton","Texas","city","-97.1429847","33.2112583"
"West Texas A & M University","9232","261","747","25014.0","2501 4th Ave","Canyon","Texas","town","-101.9158257","34.9798286"
"Brigham Young University","40203","1950","3792","16588.0","Main Campus","Provo","Utah","city","-111.6493156","40.2518435"
"University of Utah","37046","2298","9177","36608.0","201 Presidents Circle","Salt Lake City","Utah","city","-111.8427006","40.7589672"
"Utah State University","33517","1132","2601","27060.0","Old Main Hill","Logan","Utah","city","-111.8090498","41.7417384"
"College of William and Mary","9117","429","1962","47804.0","P.O. Box 8795","Williamsburg","Virginia","suburb","-76.71337799999999","37.271674"
"Hampton University","6206","29","1110","31068.0","100 E Queen St.","Hampton","Virginia","city","-76.3366127","37.021698"
"Liberty University","77778","2839","4203","30634.0","1971 University Blvd","Lynchburg","Virginia","city","-79.17692819999999","37.3529323"
"Lynchburg College","3185","24","531","41085.0","1501 Lakeside Dr","Lynchburg","Virginia","city","-79.183153","37.4006002"
"Marymount University","4146","383","447","37352.0","2807 N Glebe Rd","Arlington","Virginia","city","-77.1281889","38.9055359"
"Norfolk State University","8015","60","786","33321.0","700 Park Ave","Norfolk","Virginia","city","-76.2621193","36.8479841"
"Old Dominion University","29176","1010","2295","30799.0","5115 Hampton Blvd","Norfolk","Virginia","city","-76.3035271","36.888932"
"Radford University","9868","91","1218","31067.0","East Main Street","Radford","Virginia","town","-80.5446333","37.1371166"
"Shenandoah University","5917","255","687","40990.0","1460 University Dr","Winchester","Virginia","city","-78.1583626","39.16601319999999"
"University of Richmond","5500","338","1188","54460.0","28 Westhampton Way","Richmond","Virginia","city","-77.5428644","37.5739212"
"University of Virginia-Main Campus","30731","2196","6399","48980.0","1","Charlottesville","Virginia","city","-78.48469419999999","38.0251451"
"Virginia Commonwealth University","36401","1831","6406","38067.0","910 W Franklin St","Richmond","Virginia","city","-77.4526597","37.5496312"
"Virginia Polytechnic Institute and State University","33248","2563","6657","37840.0","965 Prices Fork Road","Blacksburg","Virginia","city","-80.4342387","37.2308784"
"Virginia State University","6571","23","840","27843.0","One Hayden Drive","Petersburg","Virginia","suburb","-77.4198758","37.2364644"
"Virginia Union University","2247","14","273","26055.0","1500 N Lombardy St","Richmond","Virginia","city","-77.4518215","37.5599032"
"Washington and Lee University","2183","92","801","54843.0","204 West Washington Street","Lexington","Virginia","town","-79.4440952","37.7915362"
"West Virginia University","33293","1645","5526","29044.0","Stewart Hall- University Avenue","Morgantown","West Virginia","city","-79.95442299999999","39.6343202"
"Middlebury College","4560","502","804","57050.0","Old Chapel","Middlebury","Vermont","rural","-73.1762729","44.0090869"
"University of Vermont","9970","0","1515","51788.0","194 S Prospect St","Burlington","Vermont","city","-73.2001416","44.4749527"
"Eastern Washington University","15049","317","1224","29540.0","526 5th Street","Cheney","Washington","town","-117.5779793","47.4908212"
"Gonzaga University","8756","194","1197","44849.0","E 502 Boone Ave","Spokane","Washington","city","-117.4030333","47.6683445"
"Seattle Pacific University","4656","84","624","43195.0","3307 3rd Ave W","Seattle","Washington","city","-122.3617421","47.649116"
"Seattle University","8919","668","1392","47853.0","900 Broadway","Seattle","Washington","city","-122.3207835","47.6102654"
"University of Puget Sound","2992","20","720","52040.0","1500 N Warner","Tacoma","Washington","city","-122.4814332","47.2630967"
"University of Washington-Seattle Campus","49554","4158","10653","41543.0","1400 NE Campus Parkway","Seattle","Washington","city","-122.3127075","47.6565538"
"Cardinal Stritch University","10980","121","315","37492.0","6801 N Yates Rd","Milwaukee","Wisconsin","suburb","-87.9071529","43.140054"
"Carroll University","3975","50","363","37050.0","100 N East Ave","Waukesha","Wisconsin","city","-88.2280201","43.0044881"
"Edgewood College","3949","83","411","34816.0","1000 Edgewood College Drive","Madison","Wisconsin","city","-89.4212376","43.0580408"
"Marquette University","12529","542","2034","44922.0","615 N 11th St","Milwaukee","Wisconsin","city","-87.92646599999999","43.037975"
"University of Wisconsin-La Crosse","11876","463","1284","25397.0","1725 State St","La Crosse","Wisconsin","city","-91.2300094","43.8136889"
"University of Wisconsin-Madison","46756","4955","9426","38199.0","702 W. Johnson Street","Madison","Wisconsin","city","-89.39805299999999","43.0722408"
"University of Wisconsin-Milwaukee","36123","1151","3318","31514.0","2200 E Kenwood Blvd","Milwaukee","Wisconsin","city","-87.881425","43.0752308"
"University of Wisconsin-Stevens Point","10878","225","1146","23612.0","Main St","Stevens Point","Wisconsin","town","-89.5558604","44.5233134"
"West Virginia University","33293","1645","5526","29044.0","Stewart Hall- University Avenue","Morgantown","West Virginia","city","-79.95442299999999","39.6343202"
"University of Wyoming","14902","847","3285","25904.0","Corner of Ninth and Ivinson","Laramie","Wyoming","town","-105.5856487","41.3114879"
